appgenre_id,appid,genres_id,weights
1,10,2,1.0
2,20,2,1.0
3,30,2,1.0
4,40,2,1.0
5,50,2,1.0
6,60,2,1.0
7,70,2,1.0
8,80,2,1.0
9,130,2,1.0
10,220,2,1.0
11,240,2,1.0
12,280,2,1.0
13,300,2,1.0
14,320,2,1.0
15,340,2,1.0
16,360,2,1.0
17,380,2,1.0
18,400,2,1.0
19,420,2,1.0
20,440,2,0.5
21,440,11,0.5
22,500,2,1.0
23,550,2,1.0
24,570,2,0.3333333333333333
25,570,11,0.3333333333333333
26,570,24,0.3333333333333333
27,620,2,0.5
28,620,3,0.5
29,630,2,1.0
30,730,2,0.5
31,730,11,0.5
32,1002,14,1.0
33,1200,2,1.0
34,1250,2,1.0
35,1300,2,1.0
36,1500,14,0.5
37,1500,24,0.5
38,1510,14,0.5
39,1510,24,0.5
40,1520,14,0.5
41,1520,24,0.5
42,1530,14,1.0
43,1600,24,1.0
44,1610,24,1.0
45,1630,24,1.0
46,1640,24,1.0
47,1670,24,1.0
48,1690,24,1.0
49,1700,19,1.0
50,1840,4,0.5
51,1840,27,0.5
52,1900,24,1.0
53,1930,19,1.0
54,2100,2,0.5
55,2100,19,0.5
56,2200,2,1.0
57,2210,2,1.0
58,2270,2,1.0
59,2280,2,1.0
60,2290,2,1.0
61,2300,2,1.0
62,2310,2,1.0
63,2320,2,1.0
64,2330,2,1.0
65,2340,2,1.0
66,2350,2,1.0
67,2360,2,1.0
68,2370,2,1.0
69,2390,2,1.0
70,2400,2,0.3333333333333333
71,2400,14,0.3333333333333333
72,2400,19,0.3333333333333333
73,2450,2,1.0
74,2500,2,1.0
75,2520,6,0.5
76,2520,14,0.5
77,2590,2,1.0
78,2600,2,1.0
79,2610,2,1.0
80,2620,2,1.0
81,2630,2,1.0
82,2640,2,1.0
83,2710,2,1.0
84,2720,2,0.3333333333333333
85,2720,14,0.3333333333333333
86,2720,24,0.3333333333333333
87,2780,2,1.0
88,2800,24,1.0
89,2810,24,1.0
90,2820,2,0.3333333333333333
91,2820,21,0.3333333333333333
92,2820,24,0.3333333333333333
93,2840,21,0.5
94,2840,24,0.5
95,2850,21,0.5
96,2850,24,0.5
97,2870,2,0.5
98,2870,21,0.5
99,2900,24,1.0
100,2910,24,1.0
101,2920,24,1.0
102,2990,18,1.0
103,3010,18,1.0
104,3020,2,1.0
105,3050,18,1.0
106,3130,24,1.0
107,3170,19,0.5
108,3170,24,0.5
109,3230,24,1.0
110,3260,3,0.5
111,3260,6,0.5
112,3270,2,1.0
113,3330,6,1.0
114,3410,6,1.0
115,3480,6,1.0
116,3483,6,1.0
117,3490,6,1.0
118,3500,6,1.0
119,3510,6,1.0
120,3520,6,1.0
121,3530,6,1.0
122,3540,6,1.0
123,3560,6,0.5
124,3560,24,0.5
125,3570,6,1.0
126,3580,6,1.0
127,3590,24,1.0
128,3600,6,1.0
129,3610,6,1.0
130,3620,2,0.5
131,3620,6,0.5
132,3700,2,1.0
133,3710,2,1.0
134,3720,24,1.0
135,3730,2,1.0
136,3800,2,1.0
137,3810,2,1.0
138,3820,2,1.0
139,3830,2,1.0
140,3900,24,1.0
141,3910,24,1.0
142,3920,19,1.0
143,3960,24,1.0
144,3980,24,1.0
145,3990,24,1.0
146,4000,14,0.5
147,4000,21,0.5
148,4100,6,0.3333333333333333
149,4100,14,0.3333333333333333
150,4100,24,0.3333333333333333
151,4230,18,1.0
152,4290,18,1.0
153,4300,2,0.5
154,4300,14,0.5
155,4420,19,1.0
156,4460,21,0.5
157,4460,24,0.5
158,4470,19,1.0
159,4500,2,0.5
160,4500,19,0.5
161,4520,2,0.5
