appplatform_id,appid,platform_id,weights
1,10,1,0.3333333333333333
2,10,2,0.3333333333333333
3,10,3,0.3333333333333333
4,20,1,0.3333333333333333
5,20,2,0.3333333333333333
6,20,3,0.3333333333333333
7,30,1,0.3333333333333333
8,30,2,0.3333333333333333
9,30,3,0.3333333333333333
10,40,1,0.3333333333333333
11,40,2,0.3333333333333333
12,40,3,0.3333333333333333
13,50,1,0.3333333333333333
14,50,2,0.3333333333333333
15,50,3,0.3333333333333333
16,60,1,0.3333333333333333
17,60,2,0.3333333333333333
18,60,3,0.3333333333333333
19,70,1,0.3333333333333333
20,70,2,0.3333333333333333
21,70,3,0.3333333333333333
22,80,1,0.3333333333333333
23,80,2,0.3333333333333333
24,80,3,0.3333333333333333
25,130,1,0.3333333333333333
26,130,2,0.3333333333333333
27,130,3,0.3333333333333333
28,220,1,0.3333333333333333
29,220,2,0.3333333333333333
30,220,3,0.3333333333333333
31,240,1,0.3333333333333333
32,240,2,0.3333333333333333
33,240,3,0.3333333333333333
34,280,1,0.3333333333333333
35,280,2,0.3333333333333333
36,280,3,0.3333333333333333
37,300,1,0.3333333333333333
38,300,2,0.3333333333333333
39,300,3,0.3333333333333333
40,320,1,0.3333333333333333
41,320,2,0.3333333333333333
42,320,3,0.3333333333333333
43,340,1,0.3333333333333333
44,340,2,0.3333333333333333
45,340,3,0.3333333333333333
46,360,1,0.3333333333333333
47,360,2,0.3333333333333333
48,360,3,0.3333333333333333
49,380,1,0.3333333333333333
50,380,2,0.3333333333333333
51,380,3,0.3333333333333333
52,400,1,0.3333333333333333
53,400,2,0.3333333333333333
54,400,3,0.3333333333333333
55,420,1,0.3333333333333333
56,420,2,0.3333333333333333
57,420,3,0.3333333333333333
58,440,1,0.3333333333333333
59,440,2,0.3333333333333333
60,440,3,0.3333333333333333
61,500,2,0.5
62,500,3,0.5
63,550,1,0.3333333333333333
64,550,2,0.3333333333333333
65,550,3,0.3333333333333333
66,570,1,0.3333333333333333
67,570,2,0.3333333333333333
68,570,3,0.3333333333333333
69,620,1,0.3333333333333333
70,620,2,0.3333333333333333
71,620,3,0.3333333333333333
72,630,3,1.0
73,730,1,0.3333333333333333
74,730,2,0.3333333333333333
75,730,3,0.3333333333333333
76,1002,3,1.0
77,1200,1,0.3333333333333333
78,1200,2,0.3333333333333333
79,1200,3,0.3333333333333333
80,1250,1,0.3333333333333333
81,1250,2,0.3333333333333333
82,1250,3,0.3333333333333333
83,1300,3,1.0
84,1500,1,0.3333333333333333
85,1500,2,0.3333333333333333
86,1500,3,0.3333333333333333
87,1510,1,0.3333333333333333
88,1510,2,0.3333333333333333
89,1510,3,0.3333333333333333
90,1520,1,0.3333333333333333
91,1520,2,0.3333333333333333
92,1520,3,0.3333333333333333
93,1530,2,0.5
94,1530,3,0.5
95,1600,3,1.0
96,1610,3,1.0
97,1630,3,1.0
98,1640,3,1.0
99,1670,3,1.0
100,1690,3,1.0
101,1700,3,1.0
102,1840,3,1.0
103,1900,1,0.3333333333333333
104,1900,2,0.3333333333333333
105,1900,3,0.3333333333333333
106,1930,1,0.3333333333333333
107,1930,2,0.3333333333333333
108,1930,3,0.3333333333333333
109,2100,3,1.0
110,2200,3,1.0
111,2210,3,1.0
112,2270,3,1.0
113,2280,3,1.0
114,2290,3,1.0
115,2300,3,1.0
116,2310,3,1.0
117,2320,3,1.0
118,2330,3,1.0
119,2340,3,1.0
120,2350,3,1.0
121,2360,3,1.0
122,2370,3,1.0
123,2390,3,1.0
124,2400,3,1.0
125,2450,3,1.0
126,2500,2,0.5
127,2500,3,0.5
128,2520,3,1.0
129,2590,3,1.0
130,2600,3,1.0
131,2610,3,1.0
132,2620,3,1.0
133,2630,2,0.5
134,2630,3,0.5
135,2640,3,1.0
136,2710,3,1.0
137,2720,3,1.0
138,2780,3,1.0
139,2800,3,1.0
140,2810,1,0.3333333333333333
141,2810,2,0.3333333333333333
142,2810,3,0.3333333333333333
143,2820,1,0.3333333333333333
144,2820,2,0.3333333333333333
145,2820,3,0.3333333333333333
146,2840,3,1.0
147,2850,3,1.0
148,2870,1,0.3333333333333333
149,2870,2,0.3333333333333333
150,2870,3,0.3333333333333333
151,2900,3,1.0
152,2910,3,1.0
153,2920,3,1.0
154,2990,3,1.0
155,3010,3,1.0
156,3020,3,1.0
157,3050,3,1.0
158,3130,3,1.0
159,3170,2,0.5
160,3170,3,0.5
161,3230,3,1.0
162,3260,3,1.0
163,3270,3,1.0
164,3330,2,0.5
165,3330,3,0.5
166,3410,3,1.0
167,3480,2,0.5
168,3480,3,0.5
169,3483,3,1.0
170,3490,3,1.0
171,3500,3,1.0
172,3510,3,1.0
173,3520,3,1.0
174,3530,3,1.0
175,3540,2,0.5
176,3540,3,0.5
177,3560,3,1.0
178,3570,3,1.0
179,3580,3,1.0
180,3590,2,0.5
181,3590,3,0.5
182,3600,2,0.5
183,3600,3,0.5
184,3610,3,1.0
185,3620,3,1.0
186,3700,3,1.0
187,3710,3,1.0
188,3720,3,1.0
189,3730,3,1.0
190,3800,3,1.0
191,3810,3,1.0
192,3820,3,1.0
193,3830,1,0.3333333333333333
194,3830,2,0.3333333333333333
195,3830,3,0.3333333333333333
196,3900,2,0.5
197,3900,3,0.5
198,3910,3,1.0
199,3920,3,1.0
200,3960,3,1.0
201,3980,3,1.0
202,3990,2,0.5
203,3990,3,0.5
204,4000,1,0.3333333333333333
205,4000,2,0.3333333333333333
206,4000,3,0.3333333333333333
207,4100,3,1.0
208,4230,3,1.0
209,4290,3,1.0
210,4300,3,1.0
211,4420,3,1.0
212,4460,3,1.0
213,4470,3,1.0
214,4500,3,1.0
215,4520,3,1.0
216,4530,3,1.0
217,4560,3,1.0
218,4570,3,1.0
219,4580,3,1.0
220,4700,1,0.3333333333333333
221,4700,2,0.3333333333333333
222,4700,3,0.3333333333333333
223,4720,3,1.0
224,4760,3,1.0
225,4770,3,1.0
226,4780,1,0.3333333333333333
227,4780,2,0.3333333333333333
228,4780,3,0.3333333333333333
229,4800,3,1.0
230,4850,3,1.0
231,4870,3,1.0
232,4880,3,1.0
233,4890,3,1.0
234,4900,3,1.0
235,4920,1,0.5
236,4920,3,0.5
237,6000,3,1.0
238,6010,2,0.5
239,6010,3,0.5
240,6020,2,0.5
241,6020,3,0.5
242,6030,2,0.5
243,6030,3,0.5
244,6040,2,0.5
245,6040,3,0.5
246,6060,3,1.0
247,6080,3,1.0
248,6090,3,1.0
249,6120,1,0.3333333333333333
250,6120,2,0.3333333333333333
251,6120,3,0.3333333333333333
252,6200,3,1.0
253,6210,3,1.0
254,6220,3,1.0
255,6250,3,1.0
256,6270,3,1.0
257,6300,3,1.0
258,6310,3,1.0
259,6370,3,1.0
260,6400,3,1.0
261,6420,3,1.0
262,6510,3,1.0
263,6550,3,1.0
264,6800,3,1.0
265,6810,3,1.0
266,6830,3,1.0
267,6840,3,1.0
268,6850,3,1.0
269,6860,3,1.0
270,6870,3,1.0
271,6880,3,1.0
272,6900,3,1.0
273,6910,3,1.0
274,6920,3,1.0
275,6980,3,1.0
276,7000,3,1.0
277,7010,3,1.0
278,7020,3,1.0
279,7110,3,1.0
280,7200,3,1.0
281,7210,3,1.0
282,7220,3,1.0
283,7260,3,1.0
284,7340,3,1.0
285,7510,1,0.3333333333333333
286,7510,2,0.3333333333333333
287,7510,3,0.3333333333333333
288,7520,2,0.5
289,7520,3,0.5
290,7530,2,0.5
291,7530,3,0.5
292,7600,2,0.5
293,7600,3,0.5
294,7610,3,1.0
295,7620,3,1.0
296,7650,3,1.0
297,7660,3,1.0
298,7730,3,1.0
299,7760,3,1.0
300,7770,3,1.0
301,7830,3,1.0
302,7840,3,1.0
303,7860,3,1.0
304,7940,2,0.5
305,7940,3,0.5
306,8000,3,1.0
307,8080,3,1.0
308,8100,3,1.0
309,8140,3,1.0
310,8170,3,1.0
311,8190,3,1.0
312,8310,3,1.0
313,8320,3,1.0
314,8330,3,1.0
315,8340,2,0.5
316,8340,3,0.5
317,8400,3,1.0
318,8500,2,0.5
319,8500,3,0.5
320,8600,3,1.0
321,8790,3,1.0
322,8800,2,0.5
323,8800,3,0.5
324,8870,1,0.3333333333333333
325,8870,2,0.3333333333333333
326,8870,3,0.3333333333333333
327,8880,3,1.0
328,8890,3,1.0
329,8930,1,0.3333333333333333
330,8930,2,0.3333333333333333
331,8930,3,0.3333333333333333
332,8970,3,1.0
333,9000,3,1.0
334,9010,3,1.0
335,9030,3,1.0
336,9040,3,1.0
337,9050,3,1.0
338,9060,3,1.0
339,9160,3,1.0
340,9180,3,1.0
341,9200,3,1.0
342,9310,3,1.0
343,9340,3,1.0
344,9350,3,1.0
345,9420,3,1.0
346,9450,3,1.0
347,9460,3,1.0
348,9480,1,0.5
349,9480,3,0.5
350,9500,2,0.5
351,9500,3,0.5
352,9710,3,1.0
353,9760,3,1.0
354,9800,3,1.0
355,9850,3,1.0
356,9880,3,1.0
357,9900,3,1.0
358,9940,3,1.0
359,9960,3,1.0
360,9970,3,1.0
361,9980,3,1.0
362,10090,3,1.0
363,10100,3,1.0
364,10110,3,1.0
365,10120,3,1.0
366,10130,3,1.0
367,10140,3,1.0
368,10150,3,1.0
369,10180,2,0.5
370,10180,3,0.5
371,10220,3,1.0
372,10230,3,1.0
373,10240,3,1.0
374,10250,3,1.0
375,10260,3,1.0
376,10270,3,1.0
377,10460,3,1.0
378,10500,1,0.3333333333333333
379,10500,2,0.3333333333333333
380,10500,3,0.3333333333333333
381,10680,3,1.0
382,11020,3,1.0
383,11040,3,1.0
384,11050,3,1.0
385,11130,3,1.0
386,11140,3,1.0
387,11150,3,1.0
388,11190,3,1.0
389,11200,2,0.5
390,11200,3,0.5
391,11230,3,1.0
392,11240,3,1.0
393,11250,3,1.0
394,11260,3,1.0
395,11280,2,0.5
396,11280,3,0.5
397,11330,3,1.0
398,11340,3,1.0
399,11360,2,0.5
400,11360,3,0.5
401,11450,1,0.3333333333333333
402,11450,2,0.3333333333333333
403,11450,3,0.3333333333333333
404,11480,3,1.0
405,11560,3,1.0
406,11590,3,1.0
407,12100,3,1.0
408,12110,3,1.0
409,12120,3,1.0
410,12130,3,1.0
411,12140,3,1.0
412,12150,3,1.0
413,12170,3,1.0
414,12180,3,1.0
415,12200,3,1.0
416,12210,3,1.0
417,12220,3,1.0
418,12310,3,1.0
419,12320,3,1.0
420,12330,3,1.0
421,12340,3,1.0
422,12360,3,1.0
423,12390,3,1.0
424,12420,3,1.0
425,12430,3,1.0
426,12440,3,1.0
427,12450,3,1.0
428,12460,3,1.0
429,12470,3,1.0
430,12480,3,1.0
431,12500,3,1.0
432,12510,3,1.0
433,12520,3,1.0
434,12530,3,1.0
435,12540,3,1.0
436,12560,3,1.0
437,12590,3,1.0
438,12600,3,1.0
439,12640,3,1.0
440,12670,3,1.0
441,12710,1,0.3333333333333333
442,12710,2,0.3333333333333333
443,12710,3,0.3333333333333333
444,12770,3,1.0
445,12790,3,1.0
446,12810,1,0.3333333333333333
447,12810,2,0.3333333333333333
448,12810,3,0.3333333333333333
449,12830,3,1.0
450,13000,3,1.0
451,13140,3,1.0
452,13200,3,1.0
453,13210,3,1.0
454,13230,3,1.0
455,13240,3,1.0
456,13250,3,1.0
457,13500,3,1.0
458,13520,3,1.0
459,13530,3,1.0
460,13540,3,1.0
461,13560,3,1.0
462,13570,3,1.0
463,13580,3,1.0
464,13600,3,1.0
465,13620,3,1.0
466,15000,3,1.0
467,15080,3,1.0
468,15100,3,1.0
469,15120,3,1.0
470,15130,3,1.0
471,15160,3,1.0
472,15170,3,1.0
473,15190,3,1.0
474,15200,3,1.0
475,15210,3,1.0
476,15240,3,1.0
477,15270,3,1.0
478,15300,3,1.0
479,15320,3,1.0
480,15370,3,1.0
481,15380,3,1.0
482,15390,3,1.0
483,15400,1,0.3333333333333333
484,15400,2,0.3333333333333333
485,15400,3,0.3333333333333333
486,15500,3,1.0
487,15520,3,1.0
488,15560,1,0.3333333333333333
489,15560,2,0.3333333333333333
490,15560,3,0.3333333333333333
491,15620,1,0.3333333333333333
492,15620,2,0.3333333333333333
493,15620,3,0.3333333333333333
494,15700,3,1.0
495,15710,3,1.0
496,15740,3,1.0
497,15750,3,1.0
498,15800,3,1.0
499,15900,3,1.0
500,15910,3,1.0
501,15920,3,1.0
502,15930,3,1.0
503,15960,3,1.0
504,15970,2,0.5
505,15970,3,0.5
506,16000,3,1.0
507,16020,3,1.0
508,16030,3,1.0
509,16040,3,1.0
510,16060,3,1.0
511,16100,3,1.0
512,16110,3,1.0
513,16120,3,1.0
514,16130,3,1.0
515,16180,3,1.0
516,16200,3,1.0
517,16450,3,1.0
518,16500,3,1.0
519,16600,3,1.0
520,16620,2,0.5
521,16620,3,0.5
522,16710,3,1.0
523,16720,2,0.5
524,16720,3,0.5
525,16730,3,1.0
526,16810,2,0.5
527,16810,3,0.5
528,16900,3,1.0
529,17080,3,1.0
530,17100,3,1.0
531,17120,3,1.0
532,17140,3,1.0
533,17180,3,1.0
534,17300,3,1.0
535,17330,3,1.0
536,17390,3,1.0
